type,carousell_url,price,listing_title
games,https://www.carousell.sg/p/1461712994/,19,Bumped
games,https://www.carousell.sg/p/1461701319/,9,Granblue Fantasy Versus: Rising Legendary Edition
games,https://www.carousell.sg/p/1461141782/,5,LEGO Harry Potter Collection
games,https://www.carousell.sg/p/1457621416/,19,Mortal Shell II
games,https://www.carousell.sg/p/1457361427/,5,Super Mario Party Jamboree
games,https://www.carousell.sg/p/1457234284/,9,Red Dead
games,https://www.carousell.sg/p/1454024191/,1,⭐
games,https://www.carousell.sg/p/1453178174/,5,Cake Bash
games,https://www.carousell.sg/p/1444503260/,5,DAVE THE DIVER / In the Jungle DLC
games,https://www.carousell.sg/p/1438663909/,9,Kunitsu-Gami: Path of the Goddess KunitsuGami
games,https://www.carousell.sg/p/1430277278/,15,WWE 2K26 Standard Edition WWE 2K26 WWE26 WWE2K26
games,https://www.carousell.sg/p/1429843904/,1,FREE Mystery Gift Chansey Plant Pokemon Pokopia - Cheap Affordable Pokemon Pokopia Pokepia
games,https://www.carousell.sg/p/1426612155/,15,Resident Evil Village Gold Edition Resident Evil 8 RE8 RE 8
games,https://www.carousell.sg/p/1406390188/,35,⭐ PlayStation Plus Subscription Essential / Extra / Deluxe
games,https://www.carousell.sg/p/1423264159/,19,Resident Evil Requiem Resident Evil 9 RE9 RE 9
games,https://www.carousell.sg/p/1423263514/,9,Resident Evil Requiem Resident Evil 9 RE9 RE 9
games,https://www.carousell.sg/p/1395813561/,9,Super Mario Galaxy 1+2
games,https://www.carousell.sg/p/1389714886/,3.33,iCloud Family Plan
codes,https://www.carousell.sg/p/1463046711/,90,EA SPORTS FC 27 PS4 PS5 PlayStation 4 5 PSN Digital Game Code PSN
codes,https://www.carousell.sg/p/1462966156/,40,NBA 2K26 PS4 PS5 PlayStation 4 5 PSN Digital Game Code PSN
codes,https://www.carousell.sg/p/1462876628/,60,Ghost of Yotei PS5 PlayStation 5 PSN Digital Game Code PSN
codes,https://www.carousell.sg/p/1462612234/,82,Marvel’s Wolverine Wolferine Wolfverine PS5 PlayStation 5 PSN Digital Game Code PSN
codes,https://www.carousell.sg/p/1462392901/,120,EARLY ACCESS TODAY EA SPORTS FC 27 Ultimate Edition FIFA 27 2027 FC27 PlayStation 4 / PlayStation 5 PS4 PS5
codes,https://www.carousell.sg/p/1461006891/,10,Trails in the Sky 2nd Chapter Nintendo
codes,https://www.carousell.sg/p/1457233349/,40,Red Dead
codes,https://www.carousell.sg/p/1457075213/,9,Nintendo
codes,https://www.carousell.sg/p/1400273185/,40,It Takes Two Nintendo
codes,https://www.carousell.sg/p/1400293463/,30,Overcooked! All You Can Eat Overcooked 1+2 Nintendo
codes,https://www.carousell.sg/p/1434005745/,26,Fire Emblem Engage Expansion Pass Nintendo
codes,https://www.carousell.sg/p/1426572249/,50,Resident Evil Village Gold Edition Nintendo Resident Evil 8 RE8 RE 8
codes,https://www.carousell.sg/p/1426572221/,42,Resident Evil 7 biohazard Gold Edition RE7 RE 7 Nintendo
codes,https://www.carousell.sg/p/1424352174/,20,Pokémon FireRed Version / Pokémon LeafGreen Version Pokemon Fire Red Leaf Green Nintendo
codes,https://www.carousell.sg/p/1410089179/,30,Pokemon Legends: Z-A
codes,https://www.carousell.sg/p/1422456014/,50,Pokemon Brilliant Diamond / Pokemon Shining Pearl Pokémon Nintendo
codes,https://www.carousell.sg/p/1420434990/,1,Individual Membership / Family Membership NSO NS Online with Expansion Pack 30 90 365 Days Member Nintendo
codes,https://www.carousell.sg/p/1418088203/,25,Booster Course Pass DLC for Mario Kart 8 Deluxe
codes,https://www.carousell.sg/p/1417890981/,50,Little Nightmares III Little Nightmares 3
